,City,Country,Tempurature,Humidity,Cloudiness,Wind Speed,Latitude,Date
0,punta arenas,CL,46.4,81,40,20.8,-70.92,1602379463
1,divnogorsk,RU,28.4,86,75,8.95,92.36,1602379463
2,hermanus,ZA,48.99,86,0,1.01,19.23,1602379464
3,kapaa,US,87.8,55,40,11.41,-159.32,1602379464
4,zhicheng,CN,72.25,63,0,1.86,111.5,1602379831
5,oakdale,US,55.0,58,1,6.93,-92.96,1602379832
6,bubaque,GW,81.32,80,0,10.58,-15.83,1602379832
7,fallon,US,71.6,28,75,21.92,-118.78,1602379832
8,atuona,PF,78.62,77,12,20.18,-139.03,1602379833
9,port augusta,AU,75.0,72,19,8.05,137.77,1602379833
10,alberton,CA,59.13,82,100,23.91,-64.07,1602379834
11,pringsewu,ID,76.39,90,96,1.68,104.97,1602379834
12,castro,BR,53.76,90,0,7.9,-50.01,1602379585
13,hithadhoo,MV,82.78,73,34,11.97,73.08,1602379834
14,anadyr,RU,39.2,75,20,8.95,177.48,1602379834
15,mar del plata,AR,53.01,93,20,11.41,-57.56,1602379466
16,busselton,AU,62.01,75,0,1.99,115.33,1602379718
17,faanui,PF,79.03,79,0,18.12,-151.75,1602379466
18,tasiilaq,GL,35.6,93,100,58.61,-37.64,1602379466
19,tiksi,RU,14.43,94,41,10.56,128.87,1602379466
20,mumford,GH,76.78,89,98,13.0,-0.76,1602379466
21,saint-pierre,RE,71.6,73,0,3.36,55.48,1602379466
22,coquimbo,CL,53.6,87,0,4.7,-71.34,1602379466
23,yeppoon,AU,84.2,39,0,12.75,150.73,1602379466
24,puerto ayora,EC,69.01,88,24,5.99,-90.35,1602379466
25,cidreira,BR,57.04,67,0,5.12,-50.21,1602379466
26,vestmannaeyjar,IS,48.27,79,100,28.14,-20.27,1602379467
27,dongkan,CN,68.23,63,18,4.27,119.83,1602379467
28,mataura,NZ,66.99,64,36,10.0,168.86,1602379467
29,vaini,TO,77.0,78,40,11.41,-175.2,1602379467
30,namibe,AO,61.72,81,0,2.84,12.15,1602379467
31,bukachacha,RU,30.72,87,100,7.85,116.92,1602379467
32,kodiak,US,48.2,66,40,8.05,-152.41,1602379437
33,bardiyah,LY,68.32,70,0,6.31,25.09,1602379467
34,rikitea,PF,74.26,77,0,14.85,-134.97,1602379467
35,ugoofaaru,MV,82.8,77,90,17.13,73.0,1602379266
36,saint george,US,81.0,15,1,5.82,-113.58,1602379180
37,fairview,US,71.01,68,1,8.05,-74.0,1602379444
38,avarua,CK,82.4,78,99,8.05,-159.78,1602379467
39,georgetown,MY,80.6,83,20,3.36,100.34,1602379467
40,bonavista,CA,50.0,86,100,5.01,-53.11,1602379468
41,sao joao da barra,BR,71.04,87,100,12.91,-41.05,1602379468
42,halifax,CA,60.01,88,51,5.01,-63.57,1602379300
43,port elizabeth,ZA,51.8,81,75,3.36,25.57,1602379468
44,narsaq,GL,41.0,86,99,5.86,-46.05,1602379468
45,changqing,CN,69.01,61,100,1.01,116.73,1602379468
46,dingli,MT,66.99,82,20,3.36,14.38,1602379468
47,gisborne,NZ,66.99,40,100,8.01,178.0,1602379468
48,port alfred,ZA,53.01,78,53,6.96,26.89,1602379468
49,lagoa,PT,68.16,82,20,13.27,-27.98,1602379468
50,ushuaia,AR,48.2,57,40,17.22,-68.3,1602379336
51,isangel,VU,84.2,79,75,8.05,169.27,1602379468
52,paamiut,GL,40.77,81,90,19.95,-49.67,1602379468
53,sattenapalle,IN,77.0,94,90,3.36,80.18,1602379468
54,ca mau,VN,80.53,86,100,4.94,105.15,1602379468
55,vila franca do campo,PT,68.0,88,40,10.29,-25.43,1602379469
56,taoudenni,ML,89.06,12,5,6.67,-3.98,1602379469
57,nikolskoye,RU,46.99,87,20,6.71,30.79,1602379469
58,airai,TL,73.96,53,3,7.16,125.41,1602379469
59,bredasdorp,ZA,48.2,93,9,4.7,20.04,1602379469
60,yellowknife,CA,37.4,93,75,4.7,-114.35,1602379469
61,teahupoo,PF,84.2,66,20,18.34,-149.27,1602379469
62,caiaponia,BR,83.39,35,77,4.25,-51.81,1602379469
63,santander,ES,60.01,62,90,4.7,-3.8,1602379205
64,bengkulu,ID,75.34,94,100,8.99,102.27,1602379469
65,butaritari,KI,81.93,71,12,11.97,172.79,1602379469
66,albany,US,66.99,65,36,4.88,-73.97,1602379469
67,carnarvon,AU,69.8,64,0,25.28,113.63,1602379470
68,new norfolk,AU,62.01,36,42,5.99,147.06,1602379470
69,tuktoyaktuk,CA,30.2,86,75,10.29,-133.04,1602379470
70,haines junction,CA,40.03,72,99,1.86,-137.51,1602379470
71,lebu,CL,49.71,86,15,17.94,-73.65,1602379470
72,dikson,RU,32.16,99,100,19.69,80.55,1602379470
73,george,ZA,46.4,87,40,4.7,22.46,1602379470
74,homer,US,50.0,76,20,5.82,-151.55,1602379237
75,margate,GB,48.99,93,56,4.0,1.39,1602379470
76,ryazan,RU,43.0,50,100,8.01,39.74,1602379362
77,berlevag,NO,47.12,90,100,13.94,29.09,1602379470
78,kargopol,RU,43.45,95,100,3.42,38.95,1602379470
79,barrow,US,28.4,74,90,20.8,-156.79,1602379470
80,moron,AR,66.0,47,83,5.01,-58.62,1602379471
81,dukat,RU,24.93,80,0,0.22,155.55,1602379471
82,castlemaine,AU,59.0,73,98,4.0,144.22,1602379471
83,zhigansk,RU,23.11,92,16,2.42,123.37,1602379471
84,upernavik,GL,38.14,74,0,4.25,-56.15,1602379471
85,killybegs,IE,48.0,96,58,1.01,-8.45,1602379471
86,cherskiy,RU,24.53,96,86,6.8,161.3,1602379471
87,mahebourg,MU,71.6,94,40,3.36,57.7,1602379471
88,port hedland,AU,91.4,33,7,11.41,118.57,1602379471
89,westport,US,69.8,73,1,13.87,-73.36,1602379374
90,iqaluit,CA,37.4,74,75,20.8,-68.51,1602379471
91,ponta do sol,PT,71.6,60,40,13.87,-17.1,1602379471
92,mabay,PH,86.0,70,20,2.24,124.47,1602379471
93,kisesa,TZ,67.21,72,2,7.0,34.15,1602379472
94,port hardy,CA,50.0,87,75,10.29,-127.42,1602379472
95,sao miguel do araguaia,BR,82.67,44,23,3.56,-50.16,1602379420
96,qasigiannguit,GL,48.2,42,100,20.8,-51.19,1602379472
97,qaanaaq,GL,30.92,80,12,7.67,-69.36,1602379472
