,City,Country,Temp,Humidity,Cloudiness,Wind Speed,Latitude,Longitude,Date
0,norman wells,CA,30.2,92,75,2.24,65.28,-126.83,1602427127
1,yellowknife,CA,35.01,100,90,9.17,62.46,-114.35,1602426964
2,labuhan,ID,82.71,75,56,6.73,-6.88,112.21,1602427127
3,punta arenas,CL,51.8,62,20,38.03,-53.15,-70.92,1602427127
4,barrow,US,24.8,68,90,19.46,71.29,-156.79,1602427127
5,khatanga,RU,21.42,98,100,12.57,71.97,102.5,1602427128
6,mataura,NZ,53.01,92,79,8.99,-46.19,168.86,1602427128
7,klaksvik,FO,44.6,87,100,3.36,62.23,-6.59,1602427128
8,hermanus,ZA,68.0,48,99,7.0,-34.42,19.23,1602427128
9,mahebourg,MU,75.2,88,40,8.05,-20.41,57.7,1602427128
10,sorland,NO,50.0,81,75,17.22,67.67,12.69,1602427128
11,cherskiy,RU,18.72,94,19,7.94,68.75,161.3,1602427128
12,bredasdorp,ZA,64.4,48,66,20.8,-34.53,20.04,1602427128
13,kapaa,US,78.8,83,8,10.29,22.08,-159.32,1602427128
14,bengkulu,ID,75.4,91,100,3.27,-3.8,102.27,1602427128
15,port alfred,ZA,59.95,58,76,10.42,-33.59,26.89,1602427128
16,castro,BR,68.76,56,3,6.71,-24.79,-50.01,1602427128
17,busselton,AU,54.0,64,0,7.29,-33.65,115.33,1602426959
18,port elizabeth,ZA,60.8,63,40,10.29,-33.92,25.57,1602427128
19,honiara,SB,75.2,94,20,2.24,-9.43,159.95,1602427129
20,saint-philippe,RE,77.0,78,38,9.17,-21.36,55.77,1602427129
21,luba,GQ,78.94,74,55,3.0,3.46,8.55,1602427129
22,barkly west,ZA,82.4,23,0,5.82,-28.54,24.52,1602427129
23,schwandorf,DE,48.99,70,90,2.91,49.33,12.11,1602427039
24,khandyga,RU,33.89,96,100,5.44,62.67,135.6,1602427129
25,tiksi,RU,12.04,94,48,9.44,71.69,128.87,1602427129
26,belyy yar,RU,35.6,93,40,2.24,53.6,91.39,1602427129
27,yashkul,RU,59.54,54,92,19.06,46.17,45.34,1602427129
28,mnogovershinnyy,RU,43.09,86,100,4.97,53.94,139.92,1602427129
29,cervo,ES,62.01,56,66,10.27,43.67,-7.41,1602427130
30,sao gabriel da cachoeira,BR,95.07,44,14,1.97,-0.13,-67.09,1602427130
31,ushuaia,AR,51.8,75,40,5.82,-54.8,-68.3,1602427130
32,kavieng,PG,81.82,80,97,11.95,-2.57,150.8,1602427130
33,dudinka,RU,23.0,92,75,26.84,69.41,86.18,1602427130
34,souillac,MU,75.2,88,40,8.05,-20.52,57.52,1602427130
35,ginir,ET,64.0,70,75,2.21,7.13,40.7,1602427130
36,dukat,RU,22.41,78,55,5.41,62.55,155.55,1602427130
37,butaritari,KI,81.07,75,5,13.71,3.07,172.79,1602427130
38,avarua,CK,71.6,94,94,4.7,-21.21,-159.78,1602427131
39,bay roberts,CA,68.0,65,93,26.8,47.6,-53.26,1602427131
40,najran,SA,86.0,23,0,4.7,17.49,44.13,1602427033
41,albany,US,52.0,56,36,7.72,42.6,-73.97,1602427131
42,darbhanga,IN,79.14,59,0,2.86,26.17,85.9,1602427131
43,antsohihy,MG,83.25,69,97,4.27,-14.88,47.99,1602427131
44,cairns,AU,75.2,78,75,5.82,-16.92,145.77,1602426961
45,sao joao da barra,BR,73.4,64,90,9.17,-21.64,-41.05,1602427131
